,cian_id,link,title,attributes,area,metro,remoteness,walk,address,price_full,price_per_meter,currency,description
234,228138737,https://www.cian.ru/sale/flat/228138737/,"2-комн. кв., 45 м², 8/9 этаж","2-комн. кв., 45 м², 8/9 этаж",45,,14 минут пешком,True,"Москва, ЗелАО, р-н Старое Крюково, Зеленоград, мкр. 8-й, к811",6400000,142222,₽,"Продажа 2-к квартиры по адресу: г. Москва, г. Зеленоград, корп. 811, 8/9П, 45/29/6,2, комнаты 17-12, балкон застеклен, с/у совмещенный. Квартира очень светлая и уютная, сделан евроремонт из качественных материалов. Рядом школы, детские сады, магазины, ТЦ Иридиум, автобусные остановки и ж/д станция Крюково. Альтернатива. Показ оперативный."
235,220718250,https://www.cian.ru/sale/flat/220718250/,"2-комн. кв., 77,58 м², 9/9 этаж","2-комн. кв., 77,58 м², 9/9 этаж",77,Филатов Луг,10 минут на транспорте,,"Москва, ТАО (Троицкий), м. Филатов Луг, Первомайское поселение, д. Ивановское, улица Семена Гордого, 6",6400000,82495,₽,"Продам 2х комнатную квартиру в ЖК Ново-Никольское Троицкий Административный округ, НОВАЯ МОСКВА, прописка Московская. Закрытая территория. Дом сдан, ключи и документы на руках.
По комнатам-20, 49+18, 65;Холл-10, 9;Кладовая-4, 53;Лоджия-5, 2+раздельный санузел.
Окна выходят на две стороны. В доме 2а лифта(пассажирский-грузовой). Мусоропровод. Вся инфраструктура рядом:школа, детский сад, магазины, поликлиника, фитнес-центр, детские площадки.
Свободная продажа, возможна ипотека. Торг."
236,230076045,https://www.cian.ru/sale/flat/230076045/,"2-комн. кв., 44,8 м², 3/12 этаж","2-комн. кв., 44,8 м², 3/12 этаж",44,Ольховая,25 минут на транспорте,,"Москва, ТАО (Троицкий), м. Ольховая, Троицк, В мкр, 1",6500000,145089,₽,"Номер лота: 3505997, Срочно!!! Московская прописка!!! Хорошая 2 -х комнатная квартира в г. Троицк. Квартира уютная, светлая, чистая. Можно заезжать и жить. Вся мебель остается новым хозяевам. Есть все необходимые документы.   Хорошие, добрые, бдительные соседи.    Чистый подъезд.  Дом расположен в центре города, развита инфроструктура ( детские сады, школы, магазины) все в пешей достуности. В пяти минутах хотьбы расположена автобусная остановка, автобусы ходят каждые 5 минут в Москву. До ближайшей станции метро Ольховая, ехать минут 30.  Чистый воздух. По проекту в 2023г открытее станции метро в Троицке. В 2022 Открытие метро Новые Ватутинка .  Отличное приобритение . Звоните, всегда рада ответить на все ваши вопросы."
237,235304380,https://www.cian.ru/sale/flat/235304380/,"2-комн. кв., 55 м², 7/14 этаж","2-комн. кв., 55 м², 7/14 этаж",55,Ховрино,25 минут на транспорте,,"Москва, ЗелАО, р-н Савёлки, м. Ховрино, Зеленоград, мкр. 5-й, к506",6500000,118182,₽,"Срочно продаётся двухкомнатная квартира в 5-ом мкр. г. Зеленограда в кирпичном доме 1969 г.п. (башня Вулыха). Дом расположен в районе с развитой инфраструктурой: магазины, ТЦ, школы, д/сады, службы быта - всё рядом с домом, вокруг большая парковая зона с детскими и спортивными площадками, зонами отдыха и прогулочными аллеями, удобная транспортная развязка с выездом на основные магистрали. Планировка квартиры с изолированными комнатами, большой лоджией (5,8 кв.м.), просторной прихожей, h - 2,7м. Чистый ухоженный подъезд. Квартира юридически и физически свободна, один взрослый собственник, полная стоимость в ДКП, собран пакет документов для ипотеки."
238,235536174,https://www.cian.ru/sale/flat/235536174/,"2-комн. кв., 47 м², 6/9 этаж","2-комн. кв., 47 м², 6/9 этаж",47,Комсомольская,35 минут на транспорте,,"Москва, ЗелАО, р-н Старое Крюково, м. Комсомольская, Зеленоград, мкр. 8-й, к813",6500000,138298,₽,"Арт. 33181346 Продаётся 2 - комнатная квартира!
Общая площадь 47 кв.м., площадь комнат 12+19 кв.м. Имеется один застеклённый балкон и раздельный санузел. Планировка изолированная. Сделан косметический ремонт. Развитая инфраструктура (школы, детские и спортивные площадки, поликлинника, детский сад, супермаркеты). Рядом станция Крюково, до Москвы, в 35-минутной транспортной доступности до ст. метро (Комсомольская), 24.00 км до МКАД (Ленинградское, Пятницкое шоссе). Быстрый выход на сделку. Возможна ипотека (помощь в оформлении). Показываем и готовы к сделке даже сегодня! Звоните!"
239,220046364,https://www.cian.ru/sale/flat/220046364/,"2-комн. кв., 44 м², 8/9 этаж","2-комн. кв., 44 м², 8/9 этаж",44,Пражская,10 минут на транспорте,,"Москва, ЮАО, р-н Бирюлево Западное, м. Пражская, Востряковский проезд, 1К2",6500000,147727,₽,"панельный дом 1973 г.п. серия ll-49, комнаты изолированные, без балкона. Требует ремонта. 2  взрослых  собственника, полная стоимость в договоре."
240,232401564,https://www.cian.ru/sale/flat/232401564/,"2-комн. кв., 47,8 м², 11/12 этаж","2-комн. кв., 47,8 м², 11/12 этаж",47,Коммунарка,15 минут на транспорте,,"Москва, ТАО (Троицкий), м. Коммунарка, Троицк, улица Солнечная, 8",6500000,135983,₽,"ID3511451 Продам двухкомнатную.11 этаж из 12. 
г. Москва , г. Троицк, ул. Солнечная , д. 8 . Дом расположен в самом центре города! Остановки общественного транспорта,магазины,детские сады, школа,сбербанк и.т.д.  все это находится в 2-х минутах от дома!
Московская прописка.
Один взрослый собственник.
Полная стоимость в договоре.
Специалист по недвижимости-Анастасия."
241,232976998,https://www.cian.ru/sale/flat/232976998/,"2-комн. кв., 60 м², 7/17 этаж","2-комн. кв., 60 м², 7/17 этаж",60,Некрасовка,5 минут на транспорте,,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к1",6500000,108333,₽,"Продаeтcя 2кoмнатнaя квариртирa с oтделкой. Квaртиpа в coбcтвeннocти. Hе аукцион!
Уникальнaя планиpовка. лоджия.
Oкна вo двoр. , с минимальными вложениями и без нарушения правил перепланировки.

Жилой комплекс ""Некрасовка 2"" расположен в 10 минутах от метро Некрасовка. Жилой комплекс находится в удобном жилом квартале, в пешей доступности есть все для комфортной жизни, 3 школы, 2 детских сада и еще достраиваются школа и детские сады. 

Прописка Москва.
Свободная продажа. 
Подходит под ипотеку. 
Квартира новая. Никто не жил."
242,196419501,https://www.cian.ru/sale/flat/196419501/,"2-комн. кв., 44 м², 4/14 этаж","2-комн. кв., 44 м², 4/14 этаж",44,Речной вокзал,29 минут на транспорте,,"Москва, ЗелАО, р-н Савёлки, м. Речной вокзал, Зеленоград, мкр. 3-й, к366",6500000,147727,₽,"КВАРТИРА  И ДОМ ( 1996г.) ПОСЛЕ КАПИТАЛЬНОГО РЕМОНТА. Предлагаться светлая 2-х ком. квартира с изолированными комнатами, с раздельным  сан. узлом, в центре Зеленограда. Просторная кухня, 6 МЕТРОВАЯ застекленная ЛОДЖИЯ. В квартире заменена электрика, НОВАЯ сан. техника, платиковые стеклопакеты, ламинат. Чистый подъезд, дружелюбные соседи. Тихий, зеленый двор с детской площадкой. Замечательный зеленый район с лесопарковой зоной с прудами, с велодорожками, зонами барбекю. Рядом школы., дет. сады, лицеи., ТЦ, сетевые магазины, МФЦ, ледовы дворец. 1 собственник. Альтернатива."
243,224861505,https://www.cian.ru/sale/flat/224861505/,"2-комн. кв., 45 м², 3/9 этаж","2-комн. кв., 45 м², 3/9 этаж",45,Алма-Атинская,12 минут на транспорте,,"Москва, ЮВАО, р-н Капотня, м. Алма-Атинская, 4-й Капотни кв-л, 1",6500000,144444,₽,"Двухкомнатая уютная квартира площадью 45 кв.м. расположена в районе Капотня на 3 этаже 9 этажного дома. До ст.метро Братиславская 8 мин. транспортом. До остановки общественного транспорта 1 минута пешком. Комнаты 17 и 11 кв.м, кухня 6 кв.м. Ухоженный и чистый подьезд. В шаговой доступности школа, детский сад, магазины, кафе, магазины, живописная благоустроенная набережная Москва реки в 5 минутах пешком. Московская прописка. Один взрослый собственник. Свободная продажа."
244,196147789,https://www.cian.ru/sale/flat/196147789/,"2-комн. кв., 54 м², 5/17 этаж","2-комн. кв., 54 м², 5/17 этаж",54,Ольховая,5 минут на транспорте,,"Москва, НАО (Новомосковский), м. Ольховая, пос. Подсобного хозяйства Воскресенское, 40к2",6500000,120370,₽,"Продаю 2-х комнатную квартиру в новом доме ЖК ""САНРАЙС"", 9 км от МКАД, поселение Воскресенское, 5 минут транспортом от метро Ольховая, 7 минут транспортом от метро Коммунарка. Прекрасный зелёный район, статус Новой Москвы, московская прописка, монолитный дом с вентилируемым фасадом, подземный паркинг. Общая площадь квартиры 54 кв.м. на 5-м этаже 17-и этажного дома. Один взрослый собственник, быстрый выход на сделку. По планировке просторная евро ДВУШКА-студия, при разумном распределении пространства можно сделать 2 автономные комнаты и кухню. Стильная входная группа, консьерж, лифты (грузовые и пассажирские). Лучшая планировка в доме, все окна во двор. В 2021 году открывается станция метро в шаговой доступности."
245,226098136,https://www.cian.ru/sale/flat/226098136/,"2-комн. кв., 40 м², 10/15 этаж","2-комн. кв., 40 м², 10/15 этаж",40,Улица Горчакова,6 минут на транспорте,,"Москва, НАО (Новомосковский), м. Улица Горчакова, Сосенское поселение, Скандинавия ЖК, 2к8/1",6500000,162500,₽,"Продается двухкомнатная квартира в новостройке Жилой комплекс ""Скандинавия"" по адресу Москва, Новомосковский АО, Сосенское п., Коммунарка пос., Жилой район ""Скандинавия"", корп. 4.2., секция 11. Общая площадь квартиры - 39.6 кв. м. , жилая площадь 25.6 кв.м., просторный  балкон. Удобная планировка пространства: кухня-гостиная, изолированная комната . Дом расположен рядом с Бутовским лесопарком и небольшими водоёмами. В ЖК ""Скандинавия"" предусмотрена собственная инфраструктура: детские сады и школы, магазины, кафе, аптеки и пр.  Уже получаем кличи !!!"
246,234309059,https://www.cian.ru/sale/flat/234309059/,"2-комн. кв., 61 м², 2/14 этаж","2-комн. кв., 61 м², 2/14 этаж",61,Некрасовка,5 минут на транспорте,,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к1",6500000,106557,₽,"Лучшая цена! Московская прописка! С ремонтом! Рядом с метро! Вы - первый собственник! История замечательной двухкомнатной квартиры - распашонки начнется именно с Вас, как и история этого нового, динамично развивающегося комфортного комплекса на юго-востоке Москвы! Все как вы мечтали!!! Квартира в собственности, документы готовы к сделке, метро в 15 минутах ходьбы, показ оперативный, помощь в получении одобрения ипотечного кредита, сопровождение сделки. Покупайте качественную, а главное! ликвидную недвижимость! ЗВОНИТЕ! Мы ждем именно ВАС!!!"
247,234315222,https://www.cian.ru/sale/flat/234315222/,"2-комн. кв., 59 м², 11/14 этаж","2-комн. кв., 59 м², 11/14 этаж",59,Некрасовка,5 минут на транспорте,,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к5",6500000,110169,₽,"Лучшая цена! Московская прописка! С ремонтом! Рядом с метро! Вы - первый собственник! История замечательной двухкомнатной квартиры - распашонки начнется именно с Вас, как и история этого нового, динамично развивающегося комфортного комплекса на юго-востоке Москвы! Все как вы мечтали!!! Квартира в собственности, документы готовы к сделке, метро в 15 минутах ходьбы, показ оперативный, помощь в получении одобрения ипотечного кредита, сопровождение сделки. Покупайте качественную, а главное! ликвидную недвижимость! ЗВОНИТЕ! Мы ждем именно ВАС!!!"
248,230674688,https://www.cian.ru/sale/flat/230674688/,"2-комн. апарт., 42 м², 3/6 этаж","2-комн. апарт., 42 м², 3/6 этаж",42,ЗИЛ,3 минуты пешком,True,"Москва, ЮАО, р-н Даниловский, м. ЗИЛ, Автозаводская улица, 23К7",6550000,155952,₽,"Номер лота: 3511171, Цена действует до 15 июля! Продам великолепные 2-х уровневые апартаменты в арт-объекте Галерея ЗИЛ. Квартира с ремонтом и мебелью, все остается в подарок новому владельцу! Очень уютная с положительной энергетикой . Панорамные окна в пол. Квартира двухуровневая, первый этаж кухня и гостиная, второй этаж спальня, гардеробная, ванная. Приличные , тихие соседи и только с одной стороны. Напротив дома ТРЦ Ривьера ( кинотеатр, Ашан, магазины, рестораны ). Рядом новый парк для прогулок Тюфелева роща, река Москва, ЦСКА Арена, парк Остров мечты. В доме круглосуточная охрана , консьерж , камеры наблюдения. Есть охраняемая парковка. В шаговой доступности метро Автозаводская 10 мин., Тульская 12 мин., ЗИЛ 5 мин. От Кремля 3 остановки на метро, 9 км на машине. Удобная транспортная развязка. Выгодный вариант для сдачи в аренду. Квартира сдается за 60 000 рублей в месяц! Срочная продажа!"
249,233172396,https://www.cian.ru/sale/flat/233172396/,"2-комн. кв., 43 м², 14/14 этаж","2-комн. кв., 43 м², 14/14 этаж",43,Коммунарка,14 минут пешком,True,"Москва, НАО (Новомосковский), м. Коммунарка, Сосенское поселение, Москвичка ЖК, к1",6550000,152326,₽,"2-х комнатная квартира, распашонка, окна на разные стороны, два санузла. Общая площадь 43, кухня 10, комнаты 14 и 11, лоджия 1,5. Этаж 14.Самое удачное расположение в секции, Квартира угловая. Хороший вид из окон, двор без машин,рядом лес и озеро, до метро 5 минут пешком! Инфраструктура отличная, в шаговой доступности есть все необходимое. Московская прописка. Ключи обещают выдавать в июне - июле. Один собственник, переуступка прав собственности.
Риелторам не беспокоить !"
250,231916223,https://www.cian.ru/sale/flat/231916223/,"2-комн. кв., 45 м², 7/9 этаж","2-комн. кв., 45 м², 7/9 этаж",45,Красный Строитель,7 минут на транспорте,,"Москва, ЮАО, р-н Бирюлево Западное, м. Красный Строитель, Булатниковская улица, 5К6",6590000,146444,₽,Продается 2 комнатная квартира.
251,234103818,https://www.cian.ru/sale/flat/234103818/,"2-комн. кв., 61 м², 4/17 этаж","2-комн. кв., 61 м², 4/17 этаж",61,Некрасовка,20 минут пешком,True,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, улица Маршала Еременко, 5к4",6590000,108033,₽,"Квартира-распашонка в  новом доме комфорт класса! С качественной отделкой, заезжай и живи. Просторная, светлая, квартира, окна панорамные на обе стороны (во двор и на зону отдыха), два санузла. Прописка Москва. Один взрослый собственник (физическое лицо). До метро 20 минут пешком. Рядом остановка общественного транспорта. Ипотека возможна."
